,ConstructName,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAtext,MisconceptionBtext,MisconceptionCtext,MisconceptionDtext
1417,Given a situation sketch an appropriate speed-time graph,Real Life Graphs,B,"Sunita accelerates quickly, then travels at a constant speed, then slowly comes to rest. Which of the following velocity \( (v) \) time \( (t) \) graphs is most likely to illustrate Sunita's journey?","![A graph with time on the horizontal axis and velocity on the vertical axis. The graph at a point above the origin, travels horizontally right, travels down and right in a straight line, then travels horizontally right again.]()","![A graph with time on the horizontal axis and velocity on the vertical axis. The graph starts at the origin, travels right and up in a steep straight line, travels horizontally right, then travels right and down in a less steep straight line than the start, until it reaches the horizontal axis.]()","![A graph with time on the horizontal axis and velocity on the vertical axis. The graph starts at the origin, travels right and up in a straight line, travels horizontally right, then travels right and up in a more steep straight line than the start.]()","![A graph with time on the horizontal axis and distance on the vertical axis. The graph starts at the origin, travels right and up in a straight line, travels horizontally right, then travels right and down in a more steep straight line than the start, until it reaches the horizontal axis.]()",nan,nan,nan,Believes a steeper downwards line on a graph means a slower decrease
1418,Identify non-unit fractions when part of a shape,Converting Mixed Number and Improper Fractions,B,"What mixed number fraction is represented below? ![Four bars, each split into six equal parts. In three of the shapes, all six parts are shaded. In the fourth shape, five out of six parts are shaded.]()",\( 2 \frac{3}{6} \),\( 3 \frac{5}{6} \),\( \frac{23}{6} \),\( 4 \frac{5}{6} \),"When converting from an improper fraction to a mixed number, just writes the tens digit as the number of wholes",nan,Confused mixed numbers with improper fractions,nan
1419,Use a linear sequence expressed as a pattern to make a prediction about another term in the sequence other than the next one,Sequences-Others,D,"What is the 7th pattern in this sequence? ![Three consecutive patterns in a sequence. The first pattern is 1 orange square. The second pattern is 3 orange squares arranged as an incomplete rectangle of base 2 and height 2, with the top left orange square missing. The third pattern is 5 orange squares arranged as an incomplete rectangle of base 3 and height 2, with the top left orange square missing.]()","![7 orange squares arranged as an incomplete rectangle of base 4 and height 2, with the top left orange square missing.]()","![9 orange squares arranged as an incomplete rectangle of base 5 and height 2, with the top left orange square missing.]()","![11 orange squares arranged as an incomplete rectangle of base 6 and height 2, with the top left orange square missing.]()","![13 orange squares arranged as an incomplete rectangle of base 7 and height 2, with the top left orange square missing.]()",When asked for a specific term in a sequence just gives the next term,"When asked for a specific term in a sequence gives a different term, which is not the next","When asked for a specific term in a sequence gives a different term, which is not the next",nan
1420,Find another power of 10 more than a given number,Place Value,D,"What number is \( 10,000 \) more than \( 298,603 \) ?","\( 398,603 \)","\( 2,986,030,000 \)","\( 208,603 \)","\( 308,603 \)",When adding powers of 10 adds onto the wrong column,Multiplies rather than adds when given the command word 'more',"When two digits sum to 10 or more during an addition problem, does not add one to the preceding digit",nan
1421,Find missing angles in a scalene triangle,Angles in Triangles,C,"What is the size of angle \( p \) ? ![A triangle with angles labelled 49 degrees, 51 degrees and p [not to scale]]()",\( 51^{\circ} \),\( 70^{\circ} \),\( 80^{\circ} \),Not enough information,Thinks angles which look the same on diagram will be equal,nan,nan,Does not know that angles in a triangle sum to 180 degrees
1422,"Calculate coordinates of points on the graph of y = ax, where x is a positive non-integer",Graphs of Exponentials and Other Powers of x,C,"This is a part of the table of values for the equation \( \boldsymbol{y}=\mathbf{8}^{\boldsymbol{x}} \) \begin{tabular}{|l|c|}
\hline\( x \) & \( \frac{1}{3} \) \\
\hline\( y \) & \(\color{gold}\bigstar\) \\
\hline
\end{tabular} What should replace the star?",\( \frac{8}{3} \),\( \sqrt{8} \),\( 2 \),\( 24 \),Multiplies by the index,Mixes up square rooting and cube rooting,nan,Divides by the index
1423,Write numbers between 0 and 1 in standard form,Standard Form,C,"Write the following number in standard form:
\[
0.0003001
\]",\( 3.001 \times 10^{4} \),\( 3.1 \times 10^{-4} \),\( 3.001 \times 10^{-4} \),\( 3.1 \times 10^{-7} \),Does not think we can have negative powers in standard form,When changing a number to standard form omits zero's of significance ,nan,Subtracts instead of adds when answering worded problems 
1424,Convert from mixed number fractions to improper fractions,Converting Mixed Number and Improper Fractions,B,"Convert this into an improper fraction:
\(
4 \frac{2}{3}
\)",\( \frac{42}{3} \),\( \frac{14}{3} \),\( \frac{11}{3} \),\( \frac{12}{3} \),Thinks the number of wholes in a mixed number represents the tens from the numerator of an improper fraction,nan,Thinks you multiply by the numerator and add the denominator when converting a mixed number to an improper fraction,Forgets to add the numerator when converting from a mixed number to an improper fraction 
1425,Recognise the equations of vertical lines from a diagram,Horizontal and Vertical Lines,A,![A set of axes with a vertical line going through 3 on the x axis]() What is the equation of this line?,\( x=3 \),\( y=3 \),\( x y=3 \),\( y=3 x \),nan,Confuses the equations of vertical and horizontal lines,nan,Confuses lines of the form y = a and y= ax
1426,Identify a unit of length,Volume and Capacity Units,D,"George has answered a question on perimeter and worked out an answer of \( 310 \).

Behind the star he has written the units that he used.

Which of the following units is definitely wrong? \( 310 \color{yellow} \bigstar\)",\( m \),\(mm \),\( f t \),\( m l \),Does not recognise metres as a unit of length,Does not recognise millimetres as a unit of length,Does not recognise feet (ft) as a unit of length,nan
1427,"Solve one-step linear equations requiring addition or subtraction, with all positive integers",Linear Equations,D,"Isaac is solving an equation. This is the left-hand side of two lines of working from Isaac's book. Isaac always records what operation he has done to both sides of the equation.
What operation should replace the star? ![The image shows two lines of working and an arrow from the top line to the bottom line with a star next to it where the operation would be labelled. The top line of working is x + 7 = ..., and the bottom line is x = ...]()",\( +7 \),\( \times 7 \),\( \div 7 \),\( -7 \),"When solving an equation, uses the same operation rather than the inverse.",Thinks the inverse of addition is multiplication,Thinks the inverse of addition is division,nan
1428,"Given the sketch of a curve in the form (x + a)(x + b), work out its factorised form",Sketching from Factorised Form,B,"Which of the following could be the equation of this curve? ![A graph of a quadratic curve that crosses the x axis at (1,0) and (3,0) and crosses the y axis at (0,3).]()",\( y=(x+1)(x+3) \),\( y=(x-1)(x-3) \),\( y=(x+1)(x-3) \),\( y=(x-1)(x+3) \),Forgets to swap the sign of roots when placing into brackets,nan,Does not understand the link between the sign of the root and the sign in the bracket,Does not understand the link between the sign of the root and the sign in the bracket
1429,Use a bar model to express a ratio problem,Sharing in a Ratio,C,"Tom and Katie share \( £ 30 \) in the ratio \( 3\;: 2 \).
Which of the following diagrams best represents this situation?",![A bar split into 3 pink blocks and 2 blue blocks. All the blocks are the same size and each block is labelled £30.](),"![A pink bar split into 3 blocks, and below it a shorter blue bar split into 2 blocks. All the blocks are the same size. The difference in length between the pink bar and the blue bar is labelled £30.]()",![A bar split into 3 pink blocks and 2 blue blocks. All the blocks are the same size and the length of the whole bar is labelled £30.](),"![A pink bar split into 3 blocks, and below it a shorter blue bar split into 2 blocks. All the blocks are the same size. The length of the pink bar is labelled £30.]()","In ratio where total is given, treats that as one part without dividing","When drawing bar diagram for ratio, shows the total as the difference between parts",nan,"When drawing bar diagram for ratio, shows the total amount as the total of one side"
1430,Add proper fractions with the same denominator,Adding and Subtracting Fractions,C,"Calculate:
\(
\frac{2}{7}+\frac{1}{7}
\)",\( \frac{2}{7} \),\( \frac{2}{49} \),\( \frac{3}{7} \),\( \frac{3}{14} \),Multiplies the numerators when adding fractions with a common denominator,"When asked to add fractions, multiplies instead",nan,"When adding fractions, adds the numerators and denominators"
1431,Calculate the square root of a number,"Squares, Cubes, etc",C,"What is the value of the missing number? ![\begin{tabular}{|c|c|}
\hline \multicolumn{2}{|c|}{\( 15^{2} \)} \\
\hline\( \square^{2} \) & \( 2 \) \\
\hline
\end{tabular}]()",\( 3 \),\( 6 \),\( 9 \),\( 40.5 \),"Thinks the sum of 2 numbers, each squared first, is the same as adding the two numbers and then squaring the total",nan,nan,Halves when asked to find the square root
1432,Complete missing number mental subtraction problems with numbers over 1000,Mental Addition and Subtraction,A,"A \( 4 \) digit number belongs in this box to make the calculation true
\(
\square -7806=1253
\)
What is the \( 4^{\text {th }} \) digit of the number that belongs in the box?",\( 9 \),\( 3 \),\( 8 \),Not possible,nan,Subtracts instead of adds,does not know the meaning of the word digit,Does not recognise that addition is the inverse operation of subtraction
1433,Carry out addition problems involving two negative integers ,Adding and Subtracting Negative Numbers,D,\( (-9)+(-4)= \),\( -5 \),\( 5 \),\( 13 \),\( -13 \),Believes that adding a negative will increase the value of the original number,nan,Believes adding two negatives gives a positive answer,nan
1434,Generate a descending integer linear sequence from the nth term rule,Quadratic Sequences,B,Tom and Katie are discussing sequences Tom says \( (2 n+1)^{2} \) would produce a linear sequence Katie says \( 1-\frac{n}{2} \) would produce a linear sequence Who is correct?,"Only
Tom","Only
Katie",Both Tom and Katie,Neither is correct,Does not recognise that a linear sequence must increase or decrease by same amount,nan,Does not recognise that a linear sequence must increase or decrease by same amount,Believes linear sequences cannot include fractions
1435,Add decimals with the same number of decimals places,Adding and Subtracting with Decimals,C,\( 3.52+2.75= \),\( 5.27 \),\( 7.17 \),\( 6.27 \),\( 5.127 \),"When two digits sum to 10 or more during an addition problem, does not add one to the preceding digit","When adding decimals, just adds the digits and ignores place value",nan,"When adding decimals, just adds the digits and ignores place value"
1436,Know the equation of the axes,Horizontal and Vertical Lines,D,What is the equation of the \( x \) axis?,\( x=1 \),\( x=0 \),\( x=y \),\( y=0 \),Thinks x = 1 at the x axis,Confuses the equations of vertical and horizontal lines,Thinks x = y is an axis,nan
1437,Calculate the range from a list of data,Range and Interquartile Range from a List of Data,A,"What is the range of this set of data?
\[
4 \mathrm{~cm}, \quad 22 \mathrm{~cm}, \quad 5 \mathrm{~cm}, \quad 7 \mathrm{~cm}
\]",\( 18 \mathrm{~cm} \),\( 22 \mathrm{~cm} \),\( 3 \mathrm{~cm} \),\( 26 \mathrm{~cm} \),nan,Identifies the biggest value for the range,"Thinks the range is just the first value subtracted from the last value, without ordering",To find the range adds the biggest and smallest number rather than subtract
1438,Describe an ascending linear sequence in words,Linear Sequences (nth term),C,"Which of the following is the most accurate way to describe this sequence?

\[
4,10,16,22,28, \ldots
\]",The first term is \( 6 \) and the common difference is positive \( 4 \),The first term is \( 6 \) and the common difference is negative \( 4 \),The first term is \( 4 \) and the common difference is positive \( 6 \),The first term is \( 4 \) and the common difference is negative \( 6 \),Does not know the definition of term or term-to-term rule,Does not know the definition of term or term-to-term rule,nan,nan
1439,Complete mental addition problems up to 1000,Mental Addition and Subtraction,D,\( 23+108= \),\( 1238 \),\( 338 \),\( 121 \),\( 131 \),nan,Lines up the digits incorrectly when doing an addition involving two numbers with a different amount of digits,"When two digits sum to 10 or more during an addition problem, does not add one to the preceding digit",nan
1440,"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,B,\( 0.2=\frac{1}{5}=? \% \),\( 15 \% \),\( 20 \% \),\( 50 \% \),\( 2 \% \),Converts a fraction to a percentage by writing the numerator followed by the denominator,nan,nan,Multiplies by 10 instead of 100 when converting decimal to percentage
1441,Factorise a single bracket containing a linear expression by taking out a single numeric common factor (e.g. 6),Factorising into a Single Bracket,B,What should replace the star and triangle when this expression is fully factorised? \( 8 m - 10 \equiv {\bigstar}(\triangle m-\bigcirc) \),\( \begin{array}{l}{\bigstar}=8 \\ \Delta=1\end{array} \),\( \begin{array}{l}{\bigstar}=2 \\ \Delta=4\end{array} \),\( \begin{array}{l}{\bigstar}=5 \\ \Delta=3\end{array} \),\( \begin{array}{l}{\bigstar}=4 \\ \Delta=2\end{array} \),"When factorising, finds a factor that goes into only the first term of the expression",nan,Believes factors add to give a number,nan
1442,"Reflect an object or a point in a horizontal line with the line of reflection given as an equation, where the line of reflection lies on the edge or outside the object",Reflection,D,"The triangle is reflected in the \( x \)-axis
What are the new coordinates of point \( P \) ? ![A set of axes: x-axis from -1 to 8, y-axis from -5 to 6. Three points are plotted and joined to make a triangle: (2, 0), (4, 0), (2, 3). Point (2, 3) is labelled with the letter ""P"". ]()","\( (2,3) \)","\( (2,2) \)","\( (3,2) \)","\( (2,-3) \)","Believes that when a shape touches the mirror line, all of its vertices will stay the same when reflected",nan,Believes that reflection always switches the x and y coordinates,nan
1443,Recognise the equations of horizontal lines from a diagram,Horizontal and Vertical Lines,A,What is the equation of this line? ![A graph showing a horizontal line going through 4 on the y axis.](),\( y=4 \),\( x=4 y \),\( y=4 x \),\( x=4 \),nan,"Believes the equation of a horizontal line is in the form x = ay, where a is the y intercept",Includes the x variable when giving the equation of a horizontal line,Confuses the equations of vertical and horizontal lines
1444,Use a protractor to measure angles between 90° and 180°,Measuring Angles,A,Which diagram shows an angle of \( 135^{\circ} \) ?,"![A 180 degree protractor (straight edge at the bottom) with 2 red lines and a blue sector marking out an angle being measured by the protractor. The angle is between the red line that is at 0 (inner scale) and 180 (outer scale) on the right of the protractor, anti-clockwise, to the red line that is half way between 130 and 140 (inner scale) and halfway between 50 and 40 (outer scale).]()","![A 180 degree protractor (straight edge at the bottom) with 2 red lines and a blue sector marking out an angle being measured by the protractor. The angle is between the red line that is at 0 (inner scale) and 180 (outer scale) on the right of the protractor, anti-clockwise, to the red line that is half way between 120 and 130 (inner scale) and halfway between 60 and 50 (outer scale).]()","![A 180 degree protractor (straight edge at the bottom) with 2 red lines and a blue sector marking out an angle being measured by the protractor. The angle is between the red line that is at 0 (inner scale) and 180 (outer scale) on the right of the protractor, anti-clockwise , to the red line that is half way between 40 and 50 (inner scale) and halfway between 140 and 130 (outer scale).]()","![A 180 degree protractor (straight edge at the bottom) with 2 red lines and a blue sector marking out an angle being measured by the protractor. The angle is between the red line that is at 0 (inner scale) and 180 (outer scale) on the protractor, to the red line that is half way between 50 and 60 (inner scale) and halfway between 130 and 120 (outer scale).]()",nan,Chooses the correct scale when measuring angles on a protractor but starts from the wrong number when the angle is in between two labelled dashes,Reads the wrong scale on the protractor when measuring obtuse angles,nan
1445,Calculate the range from a list of data,"Averages (mean, median, mode) from a List of Data",C,"The data is in ascending order.
\(
\begin{array}{llllll}
x & 5 & 8 & y & 19 & 25
\end{array}
\)
Write an expression for the range.",\( x-25 \),\( y-8 \),\( 25-x \),\( \frac{57+y+x}{6} \),subtracts the highest from the lowest when calculating the range,nan,nan,Finds the mean instead of the range
1446,"Match linear sequences to other representations, such as tables and graphs",Linear Sequences (nth term),C,Which sequence matches this graph? ![Position](),"![The sequence 5, 7, 9 represented pictorially using black line segments shaped into triangles which share a side.]()","![The sequence 3, 5, 7 represented pictorially using squares. For the first term 3 squares are placed with two squares as the base and one square stacked on top of the square on the left hand side. For each additional term, 2 squares, stacked on top of each other are added to the left hand side of the previous term's image.]()","![The sequence 4, 7, 10  represented pictorially using red line segments shaped to form squares.]()",![The first three triangular numbers represented using purple dots.](),"When given a linear sequence, cannot match it to a visual pattern","When given a linear sequence, cannot match it to a visual pattern",nan,"When given a linear sequence, cannot match it to a visual pattern"
1447,"Solve two-step linear equations, with the variable on one side, with all positive integers",Linear Equations,A,"Solve the following equation for \( a \) :
\[
2=3 a-4
\]",\( a=2 \),\( a=-\frac{2}{3} \),\( a=-6 \),\( a=-2 \),nan,Subtracts instead of adds when using inverse operations to solve an equation,nan,nan
1448,Interpret linear sections of real life graphs,Real Life Graphs,D,"The graph on the right shows the mass of sand in a bucket over time

The gradient of the positive sloping section would tell us... ![A graph with time (secs) on the horizontal axis and mass (g) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis, more steeply than the start. ]()",The temperature of the sand is rising,The rate the mass of sand in the bucket is decreasing,The mass of sand in the bucket,The rate the mass of sand in the bucket is increasing,nan,nan,Does not realise that gradient represents rate of change,nan
1449,Answer negative number problems that require the use of BIDMAS,Multiplying and Dividing Negative Numbers,D,\( -4+(-5) \times 3= \),\( 27 \),\( -27 \),\( -11 \),\( -19 \),nan,Carries out operations from left to right regardless of priority order,nan,nan
1450,Identify the order of rotational symmetry of a shape,Rotational Symmetry,D,![A solid yellow equilateral triangle (3 sided polygon with all 3 sides of equal length).]() What is the order of rotational symmetry of this equilateral triangle?,\( 0 \),\( 1 \),\( 2 \),\( 3 \),nan,Does not know how to find order of rotational symmetry,Gives one fewer order of rotational symmetry than there is,nan
1451,Recognise that a sequence is linear sequences when expressed as a pattern,Linear Sequences (nth term),C,"Tom and Katie are discussing linear sequences Tom says this is a linear sequence: ![Three shapes made of squares. The first is an L-shape made of 3 squares so the bottom line is two squares long. The second shape is also an L but with a bottom line of three squares. The fourth shape is the same but the bottom line is four squares long.  ]() Katie says this is a linear sequence: ![Three shapes made of squares. The first is an L-shape made of 3 squares. The second shape is an L made of 5 squares, two on the top row and three on the bottom row. The third shape is an L made of 7 squares, 3 on the top row and four on the bottom. ]() Who is correct?","Only
Tom","Only
Katie",Both Tom and Katie,Neither is correct,Does not recognise that a linear sequence must increase or decrease by same amount,Does not recognise that a linear sequence must increase or decrease by same amount,nan,Does not recognise that a linear sequence must increase or decrease by same amount
1452,"Given a positive x value, find the corresponding y value for reciprocal graphs",Cubics and Reciprocals,D,"This is a part of the table of values for the equation \( \boldsymbol{y}=\frac{\mathbf{1}}{\boldsymbol{x}} \) \begin{tabular}{|c|c|}
\hline\( x \) & \( 0 \) \\
\hline\( y \) & \(\bigstar\) \\
\hline
\end{tabular} What should replace the star?",\( 3 \),\( 1 \),\( 0 \),The equation is undefined at this value,nan,Believes that a number divided by itself equals 0,Believes that a reciprocal equation is defined when the denominator is 0,nan
1453,"Calculate the midpoint between two coordinates in 2D, where all the values are integers but at least one is negative",Midpoint Between Two Co-ordinates,A,"What is the midpoint of these two coordinates? ![A set of axes with two points (-4,5) and (6,2) plotted.]()","\( (1,3.5) \)","\( (5,3.5) \)","\( (2,7) \)","\( (2,3) \)",nan,Believes midpoint calculation is just half of the difference,Does not divide by 2 when finding midpoint,nan
1454,Solve linear simultaneous equations requiring a scaling of both expressions,Simultaneous Equations,B,"If three cups of tea and two cups of coffee cost \( £ 2.40 \), and two cups of tea and five cups of coffee cost £3.80, what is the cost of a cup of tea and a cup of coffee?",\( \begin{array}{l}\text { Tea }=60 p \\ \text { coffee }=40 p\end{array} \),\( \begin{array}{l}\text { Tea }=40 p \\ \text { coffee }=60 p\end{array} \),"\( \begin{array}{l}\text { Tea }=80 p, \\ \text { coffee }=44 p\end{array} \)",\( \begin{array}{l}\text { Tea }=£ 2.40 \\ \text { coffee }=£ 1.40\end{array} \),nan,nan,"When asked to solve simultaneous equations, believes they can just find values that work in one equation",nan
1455,Form expressions from situations described in words,Linear Equations,D,"I think of a number. I add on five and then multiply the result by four. The answer I get is \( 17 \).
Which of the following equations represents this?",\( n+5 \times 4=17 \),\( 4 n+5=17 \),\( n^{4}+5=17 \),\( 4(n+5)=17 \),Carries out operations from left to right regardless of priority order,Does not include brackets when attempting to multiply an expression,nan,nan
1456,Calculate the square of a number,Function Machines,A,![An image of a function machine. The input is 20 and the function is squared.]() What is the output of this function machine?,\( 400 \),\( 40 \),\( 22 \),\( 10 \),nan,Mixes up squaring and multiplying by 2 or doubling,Mixes up squaring and addition,Mixes up squaring and halving
1457,Recognise and use efficient methods for mental multiplication,Mental Multiplication and Division,C,Tom and Katie are discussing ways to calculate \( 21 \times 12 \) mentally Tom does \( 12 \times 7 \) and then multiplies his answer by \( 3 \) Katie does \( 21 \times 6 \) and then doubles her answer Who would get the correct answer?,Only Tom,Only Katie,Both Tom and Katie,Neither is correct,Does not correctly apply the distributive property of multiplication,Does not correctly apply the distributive property of multiplication,nan,Does not correctly apply the distributive property of multiplication
1458,Simplify an algebraic fraction by dividing by a single letter,Simplifying Algebraic Fractions,B,Tom and Katie are arguing about simplifying fractions. Tom says \( \frac{3 p-1}{p} \equiv 2 \) Katie says \( \frac{3 p-1}{p} \equiv 3-\frac{1}{p} \) Who is correct?,"Only
Tom","Only
Katie",Both Tom and Katie,Neither is correct,Only applies a division to one of multiple terms in a numerator when simplifying an algebraic fraction,nan,nan,nan
1459,Multiply a decimal by an integer,Multiplying and Dividing with Decimals,A,"Work out:
\[
0.6 \times 11
\]",\( 6.6 \),\( 6.06 \),\( 7 \),\( 66 \),nan,nan,Gives a rounded whole number instead of a decimal,"When multiplying a decimal by an integer, ignores decimal point and just multiplies the digits"
1460,Convert between cl and l,Volume and Capacity Units,A,"\[
650 \text { centilitres }=\bigstar \text { litres }
\]
What should replace the star?",\( 6.5 \),\( 0.65 \),\( 65000 \),\( 65 \),nan,Confuses cl and ml,Multiplies when converting to a larger unit,Thinks there are 10cl in a litre
1461,Use inequality notation to order a negative and a positive integer,Inequalities on Number Lines,A,"One of these pairs of numbers does not fit 
the inequality \( d \geq h \)

Can you find which pair?",\( \begin{array}{l}d=-5 \\ h=-1\end{array} \),\( \begin{array}{c}d=1 \\ h=-4\end{array} \),\( \begin{array}{l}d=2 \\ h=2\end{array} \),\( \begin{array}{l}d=5 \\ h=4\end{array} \),nan,Mixes up greater than and less than symbols,Does not understand inequality notation,Mixes up greater than and less than symbols
1462,Calculate the cube root of a number,"Square Roots, Cube Roots, etc",D,\( \sqrt[3]{8}= \),\( 2 . \dot{6} \),\( 4 \),\( 64 \),\( 2 \),Divides by the order of the root,Halves when asked to find the cube root,Confuses cube rooting with squaring a number,nan
1463,Solve quadratic equations using the quadratic formula where the coefficient of x² is not 1 ,Quadratic Equations,C,"Mo wants to solve this equation using the quadratic formula.
\(
5 h^{2}-3 h-2=0
\)

What should replace the triangle? \( ?\pm \sqrt{\triangle-?} \)",\( 6 \),\( -6 \),\( 9 \),\( -9 \),nan,Mixes up squaring and multiplying by 2 or doubling,nan,Believes multiplying two negatives gives a negative answer
1464,Interpret the gradient on a linear section on a real life graph,Real Life Graphs,D,"Jadon decides to go for a run starting from home.
The graph on the right shows Jadon's distance in metres \( (d) \) over time in seconds
\( (t) \).

The gradient of the negative sloping section of the graph is \( 0.5 \).

Which of the following does that \( 0.5 \) best represent? ![A sketch of a graph with d on the y axis and t on the x axis. A straight line slopes upwards from the origin 2/3 of the way up the graph, 1/5 across the graph. It then becomes horizontal for the next 1/5 of the graph, before sloping downwards in a straight line for the remainder of the graph. ]()",Jadon is travelling away from home at a speed of \( 0.5 \mathrm{~m} / \mathrm{s} \),Jadon is decelerating at a rate of \( 0.5 \mathrm{~m} / \mathrm{s}^{2} \),Jadon is accelerating at a rate of \( 0.5 \mathrm{~m} / \mathrm{s}^{2} \),Jadon is travelling back home at a speed of \( 0.5 \mathrm{~m} / \mathrm{s} \),Believes a downward slope on a distance-time graph means travelling away,Believes the gradient of a distance-time graph is the acceleration,nan,nan
1465,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",BIDMAS,A,"What does the following equal?
\[
3-5+4 \times 2
\]",\( 6 \),\( 4 \),\( -12 \),\( -10 \),nan,Carries out operations from left to right regardless of priority order,Performs addition ahead of subtraction,Subtracts instead of adds
1466,Use a protractor to draw angles between 0° and 90° ,Measuring Angles,A,"When drawing an angle, which step will you complete last?",Draw a line to join up the end of the line segment and the marker.,Make sure the centre of the protractor is at the end of the line segment.,Draw a marker to show where the angle needs to be drawn.,Draw a line segment,nan,Does not recall the steps required to draw an angle,Does not recall the steps required to draw an angle,Does not recall the steps required to draw an angle
1467,Use a protractor to draw angles between 0° and 90° ,Measuring Angles,D,Which diagram shows an angle of \( 55^{\circ} \) ?,"![A 180 degree protractor (straight edge at the bottom) with 2 red lines and a blue sector marking out an angle being measured by the protractor. The angle is between the red line that is at 0 (inner scale) and 180 (outer scale) on the right of the protractor, anti-clockwise to the red line that is half way between 130 and 140 (inner scale) and halfway between 50 and 40 (outer scale).]()","![A 180 degree protractor (straight edge at the bottom) with 2 red lines and a blue sector marking out an angle being measured by the protractor. The angle is between the red line that is at 0 (inner scale) and 180 (outer scale) on the right of the protractor, anti-clockwise to the red line that is half way between 120 and 130 (inner scale) and halfway between 60 and 50 (outer scale).]()","![A 180 degree protractor (straight edge at the bottom) with 2 red lines and a blue sector marking out an angle being measured by the protractor. The angle is between the red line that is at 0 (inner scale) and 180 (outer scale) on the right of the protractor, anti-clockwise to the red line that is half way between 40 and 50 (inner scale) and halfway between 140 and 130 (outer scale).]()","![A 180 degree protractor (straight edge at the bottom) with 2 red lines and a blue sector marking out an angle being measured by the protractor. The angle is between the red line that is at 0 (inner scale) and 180 (outer scale) on the right of the protractor, anti-clockwise to the red line that is half way between 50 and 60 (inner scale) and halfway between 130 and 120 (outer scale).]()",Reads the wrong scale on the protractor when measuring obtuse angles,Reads the wrong scale on the protractor when measuring obtuse angles,Chooses the correct scale when measuring angles on a protractor but starts from the wrong number when the angle is in between two labelled dashes,nan
1468,Expand two brackets with linear terms in the form (x + a)(x + b),Expanding Double Brackets,A,Which of the following answers shows a correct expansion of the expression below? \( (x+5)(x-2) \),\( x^{2}-2 x+5 x-10 \),\( x^{2}+2 x+5 x-3 \),\( x^{2}-2 x-5 x+10 \),\( x^{2}-2 x+5 x+3 \),nan,nan,nan,Adds instead of multiplying when expanding bracket
1469,"Calculate the midpoint between two coordinates in 2D, where all the values are integers but at least one is negative",Midpoint Between Two Co-ordinates,D,"Points \( P, Q \) and \( R \) are equally spaced along the line segment, as shown in the sketch.

The coordinates of \( \mathrm{P} \) and \( \mathrm{R} \) are marked on the diagram.

What are the coordinates of \( Q \) ? ![A graph with 4 quadrants showing a line joining points R(2, 7), Q (unknown coordinate in 3rd quadrant) and P (-4, -10)]()","\( (-1,-1) \)","\( (-2,-3) \)","\( (-1,-2) \)","\( (-1,-1.5) \)",nan,Does not divide by 2 when finding midpoint,nan,nan
1470,Identify the mode from a frequency table,Averages and Range from Frequency Table,D,"The frequency table shows the grade achieved by some students in a maths exam.
What was the modal grade? ![\begin{tabular}{|c|c|}
\hline Grade & Frequency \\
\hline \( 1 \) & \( 3 \) \\
\hline \( 2 \) & \( 7 \) \\
\hline \( 3 \) & \( 3 \) \\
\hline \( 4 \) & \( 9 \) \\
\hline \( 5 \) & \( 1 \) \\
\hline
\end{tabular}]()",\( 3 \),\( 2 \),\( 9 \),\( 4 \),Believes the mode is the most common frequency rather than the highest frequency,nan,Believes the mode is the frequency rather than the value/group,nan
1471,Express pictorial representations of objects as a ratio,Writing Ratios,C,\( \square \square \square \triangle \square \square \square \triangle \square \square \square \triangle \) For every \( 3 \) triangles there are \(___\) squares,\( 3 \),\( 6 \),\( 9 \),\( 10 \),Finds one part of a ratio but doesn't multiply that by the number of parts needed,nan,nan,nan
1472,Solve problems that combine addition or subtraction with multiplication,Mental Addition and Subtraction,D,"There are \( 8 \) shelves of plates. Four of the shelves hold \( 15 \) plates each. Two of the shelves hold \( 23 \) plates each. The other shelves hold \( 17 \) plates each.
How many plates are there in total?",\( 123 \),\( 55 \),\( 63 \),\( 140 \),nan,"Ignores numbers written as words in worded questions, and just calculates using those written in digits","Ignores numbers written as words in worded questions, and just calculates using those written in digits",nan
1473,"Divide a quantity into two parts for a given a ratio, where each part is an integer",Writing Ratios,C,"For every \( 3 \) green squares there are \( 1 \) red squares.

How many squares should be coloured green in the grid on the right? \begin{tabular}{|l|l|l|l|}
\hline \(\;\) & \(\;\) & \(\;\) & \(\;\) \\
\hline \(\;\) & \(\;\) & \(\;\) & \(\;\) \\
\hline \(\;\) & \(\;\) & \(\;\) & \(\;\) \\
\hline \(\;\) & \(\;\) & \(\;\) & \(\;\) \\
\hline
\end{tabular}",\( 3 \),\( 8 \),\( 12 \),\( 4 \),Does not believe you can scale up a proportional statement,Shares equally instead of in given ratio,nan,nan
1474,Use the order of operations to carry out calculations involving brackets,BIDMAS,C,"\[
6-3+2
\]
Tom and Katie are trying to make the calculation above equal to \( 5 \).
Tom says you can write it like this: \( (6-3)+2 \)
Katie says you can leave it like this: \( 6-3+2 \)
Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,"Applies BIDMAS in strict order (does not realize addition and subtraction, and multiplication and division, are of equal priority)",nan,nan,nan
